"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC","ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","bug"
"L48984","XYPlotFrame.java","Plotter/src/examples/java/plotter/examples/XYPlotFrame.java","L48966","1","0","0","9","119","183","L48805","XYPlotFrame.java","Plotter/src/examples/java/plotter/examples/XYPlotFrame.java","L48787","1","0","119","0","0","1","0","0"
"L48930","Axis.java","Plotter/src/main/java/plotter/Axis.java","L48929","4","0","14","0","63","184","L48751","Axis.java","Plotter/src/main/java/plotter/Axis.java","L48750","4","0","63","0","0","1","0","0"
"L48931","AxisLabel.java","Plotter/src/main/java/plotter/AxisLabel.java","L48929","1","0","3","0","13","55","L48752","AxisLabel.java","Plotter/src/main/java/plotter/AxisLabel.java","L48750","1","0","13","0","0","1","0","0"
"L48932","Dataset.java","Plotter/src/main/java/plotter/Dataset.java","L48929","1","0","3","0","5","41","L48753","Dataset.java","Plotter/src/main/java/plotter/Dataset.java","L48750","1","0","5","0","0","1","0","0"
"L48933","DateNumberFormat.java","Plotter/src/main/java/plotter/DateNumberFormat.java","L48929","1","0","3","3","30","77","L48754","DateNumberFormat.java","Plotter/src/main/java/plotter/DateNumberFormat.java","L48750","1","0","30","0","0","1","0","0"
"L48934","DoubleData.java","Plotter/src/main/java/plotter/DoubleData.java","L48929","77","0","22","1","312","523","L48755","DoubleData.java","Plotter/src/main/java/plotter/DoubleData.java","L48750","77","0","312","0","0","1","0","0"
"L48935","ExpFormat.java","Plotter/src/main/java/plotter/ExpFormat.java","L48929","1","0","3","3","26","76","L48756","ExpFormat.java","Plotter/src/main/java/plotter/ExpFormat.java","L48750","1","0","26","0","0","1","0","0"
"L48936","IntegerTickMarkCalculator.java","Plotter/src/main/java/plotter/IntegerTickMarkCalculator.java","L48929","4","0","1","1","31","61","L48757","IntegerTickMarkCalculator.java","Plotter/src/main/java/plotter/IntegerTickMarkCalculator.java","L48750","4","0","31","0","0","1","0","0"
"L48937","LinearTickMarkCalculator.java","Plotter/src/main/java/plotter/LinearTickMarkCalculator.java","L48929","18","0","1","1","119","165","L48758","LinearTickMarkCalculator.java","Plotter/src/main/java/plotter/LinearTickMarkCalculator.java","L48750","18","0","119","4","70","6","0","0"
"L48938","LogTickMarkCalculator.java","Plotter/src/main/java/plotter/LogTickMarkCalculator.java","L48929","8","0","2","0","46","85","L48759","LogTickMarkCalculator.java","Plotter/src/main/java/plotter/LogTickMarkCalculator.java","L48750","8","0","46","0","0","1","0","0"
"L48939","MultiLineLabelUI.java","Plotter/src/main/java/plotter/MultiLineLabelUI.java","L48929","65","0","3","6","305","466","L48760","MultiLineLabelUI.java","Plotter/src/main/java/plotter/MultiLineLabelUI.java","L48750","65","0","305","0","0","1","0","0"
"L48941","Plot.java","Plotter/src/main/java/plotter/Plot.java","L48929","1","0","3","0","8","53","L48762","Plot.java","Plotter/src/main/java/plotter/Plot.java","L48750","1","0","8","0","0","1","0","0"
"L48942","Rotation.java","Plotter/src/main/java/plotter/Rotation.java","L48929","1","0","2","0","14","58","L48763","Rotation.java","Plotter/src/main/java/plotter/Rotation.java","L48750","1","0","14","0","0","1","0","0"
"L48943","Shapes.java","Plotter/src/main/java/plotter/Shapes.java","L48929","4","0","9","0","96","169","L48764","Shapes.java","Plotter/src/main/java/plotter/Shapes.java","L48750","4","0","96","4","70","5","0","0"
"L48944","TickMarkCalculator.java","Plotter/src/main/java/plotter/TickMarkCalculator.java","L48929","1","0","2","0","4","39","L48765","TickMarkCalculator.java","Plotter/src/main/java/plotter/TickMarkCalculator.java","L48750","1","0","4","4","70","6","0","0"
"L48945","TimeTickMarkCalculator.java","Plotter/src/main/java/plotter/TimeTickMarkCalculator.java","L48929","34","0","1","1","190","242","L48766","TimeTickMarkCalculator.java","Plotter/src/main/java/plotter/TimeTickMarkCalculator.java","L48750","34","0","190","4","70","6","0","0"
"L49561","RangeSet.java","Plotter/src/main/java/plotter/internal/RangeSet.java","L49559","18","0","6","1","95","163","L49378","RangeSet.java","Plotter/src/main/java/plotter/internal/RangeSet.java","L49376","18","0","95","0","0","1","0","0"
"L49560","package-info.java","Plotter/src/main/java/plotter/internal/package-info.java","L49559","1","0","0","0","1","28","L49377","package-info.java","Plotter/src/main/java/plotter/internal/package-info.java","L49376","1","0","1","0","0","1","0","0"
"L48940","package-info.java","Plotter/src/main/java/plotter/package-info.java","L48929","1","0","0","0","1","28","L48761","package-info.java","Plotter/src/main/java/plotter/package-info.java","L48750","1","0","1","0","0","1","0","0"
"L49901","CompressingXYDataset.java","Plotter/src/main/java/plotter/xy/CompressingXYDataset.java","L49900","47","0","27","4","323","601","L49718","CompressingXYDataset.java","Plotter/src/main/java/plotter/xy/CompressingXYDataset.java","L49717","47","0","323","0","0","1","0","0"
"L49902","CompressionOutput.java","Plotter/src/main/java/plotter/xy/CompressionOutput.java","L49900","1","0","4","0","6","50","L49719","CompressionOutput.java","Plotter/src/main/java/plotter/xy/CompressionOutput.java","L49717","1","0","6","0","0","1","0","0"
"L49903","Compressor.java","Plotter/src/main/java/plotter/xy/Compressor.java","L49900","1","0","5","0","8","72","L49720","Compressor.java","Plotter/src/main/java/plotter/xy/Compressor.java","L49717","1","0","8","0","0","1","0","0"
"L49904","DefaultCompressor.java","Plotter/src/main/java/plotter/xy/DefaultCompressor.java","L49900","52","0","3","3","238","306","L49721","DefaultCompressor.java","Plotter/src/main/java/plotter/xy/DefaultCompressor.java","L49717","52","0","238","0","0","1","0","0"
"L49905","DefaultXYLayoutGenerator.java","Plotter/src/main/java/plotter/xy/DefaultXYLayoutGenerator.java","L49900","16","0","2","0","75","127","L49722","DefaultXYLayoutGenerator.java","Plotter/src/main/java/plotter/xy/DefaultXYLayoutGenerator.java","L49717","16","0","75","0","0","1","0","0"
"L49906","LinearXYAxis.java","Plotter/src/main/java/plotter/xy/LinearXYAxis.java","L49900","30","0","8","3","208","334","L49723","LinearXYAxis.java","Plotter/src/main/java/plotter/xy/LinearXYAxis.java","L49717","30","0","208","4","70","10","0","0"
"L49907","LinearXYPlotLine.java","Plotter/src/main/java/plotter/xy/LinearXYPlotLine.java","L49900","64","0","18","7","408","633","L49724","LinearXYPlotLine.java","Plotter/src/main/java/plotter/xy/LinearXYPlotLine.java","L49717","64","0","408","4","70","9","0","0"
"L49908","MissingPointMode.java","Plotter/src/main/java/plotter/xy/MissingPointMode.java","L49900","1","0","1","0","7","50","L49725","MissingPointMode.java","Plotter/src/main/java/plotter/xy/MissingPointMode.java","L49717","1","0","7","0","0","1","0","0"
"L49910","PointData.java","Plotter/src/main/java/plotter/xy/PointData.java","L49900","1","0","10","1","43","134","L49727","PointData.java","Plotter/src/main/java/plotter/xy/PointData.java","L49717","1","0","43","0","0","1","0","0"
"L49911","ScatterXYPlotLine.java","Plotter/src/main/java/plotter/xy/ScatterXYPlotLine.java","L49900","84","0","14","7","485","687","L49728","ScatterXYPlotLine.java","Plotter/src/main/java/plotter/xy/ScatterXYPlotLine.java","L49717","84","0","485","4","70","7","0","0"
"L49912","SimpleXYDataset.java","Plotter/src/main/java/plotter/xy/SimpleXYDataset.java","L49900","35","0","20","5","228","443","L49729","SimpleXYDataset.java","Plotter/src/main/java/plotter/xy/SimpleXYDataset.java","L49717","35","0","228","0","0","1","0","0"
"L49913","SlopeLine.java","Plotter/src/main/java/plotter/xy/SlopeLine.java","L49900","24","0","7","7","201","351","L49730","SlopeLine.java","Plotter/src/main/java/plotter/xy/SlopeLine.java","L49717","24","0","201","2","70","6","0","0"
"L49914","SlopeLineDisplay.java","Plotter/src/main/java/plotter/xy/SlopeLineDisplay.java","L49900","3","0","3","3","30","81","L49731","SlopeLineDisplay.java","Plotter/src/main/java/plotter/xy/SlopeLineDisplay.java","L49717","3","0","30","0","0","1","0","0"
"L49915","XYAxis.java","Plotter/src/main/java/plotter/xy/XYAxis.java","L49900","8","0","16","0","101","252","L49732","XYAxis.java","Plotter/src/main/java/plotter/xy/XYAxis.java","L49717","8","0","101","0","0","1","0","0"
"L49916","XYDataset.java","Plotter/src/main/java/plotter/xy/XYDataset.java","L49900","1","0","3","0","7","50","L49733","XYDataset.java","Plotter/src/main/java/plotter/xy/XYDataset.java","L49717","1","0","7","0","0","1","0","0"
"L49917","XYDimension.java","Plotter/src/main/java/plotter/xy/XYDimension.java","L49900","1","0","1","0","5","39","L49734","XYDimension.java","Plotter/src/main/java/plotter/xy/XYDimension.java","L49717","1","0","5","0","0","1","0","0"
"L49918","XYGrid.java","Plotter/src/main/java/plotter/xy/XYGrid.java","L49900","10","0","4","1","82","152","L49735","XYGrid.java","Plotter/src/main/java/plotter/xy/XYGrid.java","L49717","10","0","82","0","0","1","0","0"
"L49919","XYLocationDisplay.java","Plotter/src/main/java/plotter/xy/XYLocationDisplay.java","L49900","4","0","4","7","62","130","L49736","XYLocationDisplay.java","Plotter/src/main/java/plotter/xy/XYLocationDisplay.java","L49717","4","0","62","0","0","1","0","0"
"L49920","XYMarkerLine.java","Plotter/src/main/java/plotter/xy/XYMarkerLine.java","L49900","15","0","6","0","115","206","L49737","XYMarkerLine.java","Plotter/src/main/java/plotter/xy/XYMarkerLine.java","L49717","15","0","115","0","0","1","0","0"
"L49921","XYPlot.java","Plotter/src/main/java/plotter/xy/XYPlot.java","L49900","4","0","7","2","58","133","L49738","XYPlot.java","Plotter/src/main/java/plotter/xy/XYPlot.java","L49717","4","0","58","0","0","1","0","0"
"L49922","XYPlotContents.java","Plotter/src/main/java/plotter/xy/XYPlotContents.java","L49900","2","0","2","2","32","73","L49739","XYPlotContents.java","Plotter/src/main/java/plotter/xy/XYPlotContents.java","L49717","2","0","32","0","0","1","0","0"
"L49923","XYPlotLine.java","Plotter/src/main/java/plotter/xy/XYPlotLine.java","L49900","1","0","18","0","40","183","L49740","XYPlotLine.java","Plotter/src/main/java/plotter/xy/XYPlotLine.java","L49717","1","0","40","4","70","9","0","0"
"L49924","XYReversingDataset.java","Plotter/src/main/java/plotter/xy/XYReversingDataset.java","L49900","1","0","2","6","32","78","L49741","XYReversingDataset.java","Plotter/src/main/java/plotter/xy/XYReversingDataset.java","L49717","1","0","32","0","0","1","0","0"
"L49909","package-info.java","Plotter/src/main/java/plotter/xy/package-info.java","L49900","1","0","0","0","1","27","L49726","package-info.java","Plotter/src/main/java/plotter/xy/package-info.java","L49717","1","0","1","0","0","1","0","0"
"L48949","CountingGraphics.java","Plotter/src/test/java/plotter/CountingGraphics.java","L48948","6","0","5","5","103","175","L48770","CountingGraphics.java","Plotter/src/test/java/plotter/CountingGraphics.java","L48769","6","0","103","4","70","6","0","0"
"L48950","DoubleDiffer.java","Plotter/src/test/java/plotter/DoubleDiffer.java","L48948","1","0","3","0","12","55","L48771","DoubleDiffer.java","Plotter/src/test/java/plotter/DoubleDiffer.java","L48769","1","0","12","0","0","1","0","0"
"L48951","GraphicsProxy.java","Plotter/src/test/java/plotter/GraphicsProxy.java","L48948","1","0","4","80","282","490","L48772","GraphicsProxy.java","Plotter/src/test/java/plotter/GraphicsProxy.java","L48769","1","0","282","0","0","1","0","0"
"L48952","JUnitAll.java","Plotter/src/test/java/plotter/JUnitAll.java","L48948","1","0","0","2","19","43","L48773","JUnitAll.java","Plotter/src/test/java/plotter/JUnitAll.java","L48769","1","0","19","0","0","1","0","0"
"L48953","JUnitDateNumberFormat.java","Plotter/src/test/java/plotter/JUnitDateNumberFormat.java","L48948","1","0","0","3","25","52","L48774","JUnitDateNumberFormat.java","Plotter/src/test/java/plotter/JUnitDateNumberFormat.java","L48769","1","0","25","0","0","1","0","0"
"L48954","JUnitDoubleData.java","Plotter/src/test/java/plotter/JUnitDoubleData.java","L48948","63","0","20","37","912","1173","L48775","JUnitDoubleData.java","Plotter/src/test/java/plotter/JUnitDoubleData.java","L48769","63","0","912","0","0","1","0","0"
"L48955","JUnitExpFormat.java","Plotter/src/test/java/plotter/JUnitExpFormat.java","L48948","1","0","0","3","20","47","L48776","JUnitExpFormat.java","Plotter/src/test/java/plotter/JUnitExpFormat.java","L48769","1","0","20","0","0","1","0","0"
"L48956","JUnitIntegerTickMarkCalculator.java","Plotter/src/test/java/plotter/JUnitIntegerTickMarkCalculator.java","L48948","2","0","0","19","113","176","L48777","JUnitIntegerTickMarkCalculator.java","Plotter/src/test/java/plotter/JUnitIntegerTickMarkCalculator.java","L48769","2","0","113","0","0","1","0","0"
"L48957","JUnitLinearTickMarkCalculator.java","Plotter/src/test/java/plotter/JUnitLinearTickMarkCalculator.java","L48948","3","0","0","19","121","186","L48778","JUnitLinearTickMarkCalculator.java","Plotter/src/test/java/plotter/JUnitLinearTickMarkCalculator.java","L48769","3","0","121","4","70","6","0","0"
"L48958","JUnitLogTickMarkCalculator.java","Plotter/src/test/java/plotter/JUnitLogTickMarkCalculator.java","L48948","2","0","0","7","119","158","L48779","JUnitLogTickMarkCalculator.java","Plotter/src/test/java/plotter/JUnitLogTickMarkCalculator.java","L48769","2","0","119","0","0","1","0","0"
"L48959","JUnitTimeTickMarkCalculator.java","Plotter/src/test/java/plotter/JUnitTimeTickMarkCalculator.java","L48948","3","0","0","38","222","330","L48780","JUnitTimeTickMarkCalculator.java","Plotter/src/test/java/plotter/JUnitTimeTickMarkCalculator.java","L48769","3","0","222","4","70","6","0","0"
"L48960","LineChecker.java","Plotter/src/test/java/plotter/LineChecker.java","L48948","15","0","4","0","83","166","L48781","LineChecker.java","Plotter/src/test/java/plotter/LineChecker.java","L48769","15","0","83","0","0","1","0","0"
"L48961","PropertyTester.java","Plotter/src/test/java/plotter/PropertyTester.java","L48948","23","0","0","3","79","110","L48782","PropertyTester.java","Plotter/src/test/java/plotter/PropertyTester.java","L48769","23","0","79","0","0","1","0","0"
"L49563","JUnitInternal.java","Plotter/src/test/java/plotter/internal/JUnitInternal.java","L49562","1","0","0","2","9","33","L49380","JUnitInternal.java","Plotter/src/test/java/plotter/internal/JUnitInternal.java","L49379","1","0","9","0","0","1","0","0"
"L49564","JUnitRangeSet.java","Plotter/src/test/java/plotter/internal/JUnitRangeSet.java","L49562","1","0","0","15","135","188","L49381","JUnitRangeSet.java","Plotter/src/test/java/plotter/internal/JUnitRangeSet.java","L49379","1","0","135","0","0","1","0","0"
"L49926","JUnitCompressingXYDataset.java","Plotter/src/test/java/plotter/xy/JUnitCompressingXYDataset.java","L49925","4","0","0","13","236","296","L49743","JUnitCompressingXYDataset.java","Plotter/src/test/java/plotter/xy/JUnitCompressingXYDataset.java","L49742","4","0","236","0","0","1","0","0"
"L49927","JUnitDefaultCompressor.java","Plotter/src/test/java/plotter/xy/JUnitDefaultCompressor.java","L49925","4","0","0","37","445","562","L49744","JUnitDefaultCompressor.java","Plotter/src/test/java/plotter/xy/JUnitDefaultCompressor.java","L49742","4","0","445","0","0","1","0","0"
"L49928","JUnitDefaultXYLayoutGenerator.java","Plotter/src/test/java/plotter/xy/JUnitDefaultXYLayoutGenerator.java","L49925","1","0","0","5","116","173","L49745","JUnitDefaultXYLayoutGenerator.java","Plotter/src/test/java/plotter/xy/JUnitDefaultXYLayoutGenerator.java","L49742","1","0","116","0","0","1","0","0"
"L49929","JUnitLinearXYAxis.java","Plotter/src/test/java/plotter/xy/JUnitLinearXYAxis.java","L49925","1","0","0","17","382","472","L49746","JUnitLinearXYAxis.java","Plotter/src/test/java/plotter/xy/JUnitLinearXYAxis.java","L49742","1","0","382","0","0","1","0","0"
"L49930","JUnitLinearXYPlotLine.java","Plotter/src/test/java/plotter/xy/JUnitLinearXYPlotLine.java","L49925","2","0","0","27","449","579","L49747","JUnitLinearXYPlotLine.java","Plotter/src/test/java/plotter/xy/JUnitLinearXYPlotLine.java","L49742","2","0","449","4","70","6","0","0"
"L49931","JUnitLinearXYPlotLineYIndependent.java","Plotter/src/test/java/plotter/xy/JUnitLinearXYPlotLineYIndependent.java","L49925","2","0","0","24","389","498","L49748","JUnitLinearXYPlotLineYIndependent.java","Plotter/src/test/java/plotter/xy/JUnitLinearXYPlotLineYIndependent.java","L49742","2","0","389","0","0","1","0","0"
"L49932","JUnitScatterXYPlotLine.java","Plotter/src/test/java/plotter/xy/JUnitScatterXYPlotLine.java","L49925","2","0","0","44","715","900","L49749","JUnitScatterXYPlotLine.java","Plotter/src/test/java/plotter/xy/JUnitScatterXYPlotLine.java","L49742","2","0","715","4","70","6","0","0"
"L49933","JUnitSimpleXYDataset.java","Plotter/src/test/java/plotter/xy/JUnitSimpleXYDataset.java","L49925","1","0","0","8","176","228","L49750","JUnitSimpleXYDataset.java","Plotter/src/test/java/plotter/xy/JUnitSimpleXYDataset.java","L49742","1","0","176","0","0","1","0","0"
"L49934","JUnitSlopeLine.java","Plotter/src/test/java/plotter/xy/JUnitSlopeLine.java","L49925","1","0","0","2","123","172","L49751","JUnitSlopeLine.java","Plotter/src/test/java/plotter/xy/JUnitSlopeLine.java","L49742","1","0","123","2","70","5","0","0"
"L49935","JUnitSlopeLineDisplay.java","Plotter/src/test/java/plotter/xy/JUnitSlopeLineDisplay.java","L49925","1","0","0","5","36","72","L49752","JUnitSlopeLineDisplay.java","Plotter/src/test/java/plotter/xy/JUnitSlopeLineDisplay.java","L49742","1","0","36","0","0","1","0","0"
"L49936","JUnitXY.java","Plotter/src/test/java/plotter/xy/JUnitXY.java","L49925","1","0","0","2","25","49","L49753","JUnitXY.java","Plotter/src/test/java/plotter/xy/JUnitXY.java","L49742","1","0","25","4","70","6","0","0"
"L49937","JUnitXYAxis.java","Plotter/src/test/java/plotter/xy/JUnitXYAxis.java","L49925","2","0","0","5","127","209","L49754","JUnitXYAxis.java","Plotter/src/test/java/plotter/xy/JUnitXYAxis.java","L49742","2","0","127","0","0","1","0","0"
"L49938","JUnitXYGrid.java","Plotter/src/test/java/plotter/xy/JUnitXYGrid.java","L49925","2","0","0","5","127","175","L49755","JUnitXYGrid.java","Plotter/src/test/java/plotter/xy/JUnitXYGrid.java","L49742","2","0","127","0","0","1","0","0"
"L49939","JUnitXYLocationDisplay.java","Plotter/src/test/java/plotter/xy/JUnitXYLocationDisplay.java","L49925","2","0","0","3","52","90","L49756","JUnitXYLocationDisplay.java","Plotter/src/test/java/plotter/xy/JUnitXYLocationDisplay.java","L49742","2","0","52","0","0","1","0","0"
"L49940","JUnitXYMarkerLine.java","Plotter/src/test/java/plotter/xy/JUnitXYMarkerLine.java","L49925","2","0","0","17","261","351","L49757","JUnitXYMarkerLine.java","Plotter/src/test/java/plotter/xy/JUnitXYMarkerLine.java","L49742","2","0","261","0","0","1","0","0"
"L49941","JUnitXYPlot.java","Plotter/src/test/java/plotter/xy/JUnitXYPlot.java","L49925","3","0","0","3","44","72","L49758","JUnitXYPlot.java","Plotter/src/test/java/plotter/xy/JUnitXYPlot.java","L49742","3","0","44","0","0","1","0","0"
"L49942","JUnitXYPlotLine.java","Plotter/src/test/java/plotter/xy/JUnitXYPlotLine.java","L49925","1","0","0","2","55","83","L49759","JUnitXYPlotLine.java","Plotter/src/test/java/plotter/xy/JUnitXYPlotLine.java","L49742","1","0","55","4","70","5","0","0"
"L49943","JUnitXYReversingDataset.java","Plotter/src/test/java/plotter/xy/JUnitXYReversingDataset.java","L49925","3","0","0","2","70","114","L49760","JUnitXYReversingDataset.java","Plotter/src/test/java/plotter/xy/JUnitXYReversingDataset.java","L49742","3","0","70","0","0","1","0","0"
"L125","CanvasActivator.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/CanvasActivator.java","L124","1","0","1","2","32","72","L118","CanvasActivator.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/CanvasActivator.java","L117","1","0","32","0","0","1","0","0"
"L126","ComponentRegistryAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/ComponentRegistryAccess.java","L124","1","0","4","0","16","69","L119","ComponentRegistryAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/ComponentRegistryAccess.java","L117","1","0","16","0","0","1","0","0"
"L127","MenuManagerAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/MenuManagerAccess.java","L124","1","0","1","3","15","51","L120","MenuManagerAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/MenuManagerAccess.java","L117","1","0","15","0","0","1","0","0"
"L128","PolicyManagerAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/PolicyManagerAccess.java","L124","1","0","1","3","15","49","L121","PolicyManagerAccess.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/PolicyManagerAccess.java","L117","1","0","15","0","0","1","0","0"
"L219","ControlAreaFormattingConstants.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/formatting/ControlAreaFormattingConstants.java","L218","6","0","2","4","65","112","L212","ControlAreaFormattingConstants.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/formatting/ControlAreaFormattingConstants.java","L211","6","0","65","0","0","1","0","0"
"L330","CanvasLayoutManager.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/layout/CanvasLayoutManager.java","L329","33","0","0","19","236","308","L323","CanvasLayoutManager.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/layout/CanvasLayoutManager.java","L322","33","0","236","0","0","1","0","0"
"L597","CanvasViewStrategy.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/CanvasViewStrategy.java","L596","6","0","1","2","52","92","L590","CanvasViewStrategy.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/CanvasViewStrategy.java","L589","6","0","52","1","70","2","0","0"
"L598","FlatScrollBarUI.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/FlatScrollBarUI.java","L596","5","0","0","2","76","120","L591","FlatScrollBarUI.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/FlatScrollBarUI.java","L589","5","0","76","0","0","1","0","0"
"L599","Panel.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/Panel.java","L596","50","0","16","40","602","789","L592","Panel.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/Panel.java","L589","50","0","602","1","70","2","0","0"
"L600","PanelBorder.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/PanelBorder.java","L596","28","0","10","13","201","327","L593","PanelBorder.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/PanelBorder.java","L589","28","0","201","0","0","1","0","0"
"L601","TransferableIcon.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/TransferableIcon.java","L596","6","0","4","0","92","151","L594","TransferableIcon.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/TransferableIcon.java","L589","6","0","92","0","0","1","0","0"
"L1667","CanvasPersistentState.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/persistence/CanvasPersistentState.java","L1666","1","0","0","7","33","65","L1660","CanvasPersistentState.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/persistence/CanvasPersistentState.java","L1659","1","0","33","0","0","1","0","0"
"L1668","MCTViewManifestationInfo.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/persistence/MCTViewManifestationInfo.java","L1666","11","0","3","31","190","307","L1661","MCTViewManifestationInfo.java","canvas/src/main/java/gov/nasa/arc/mct/canvas/persistence/MCTViewManifestationInfo.java","L1659","11","0","190","0","0","1","0","0"
