"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC","ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","bug"
"L2346","AdvancedVersionAndEditionServiceIT.java","advanced/server-advanced/src/test/java/org/neo4j/server/webadmin/rest/AdvancedVersionAndEditionServiceIT.java","L2345","1","0","1","4","75","112","L2339","AdvancedVersionAndEditionServiceIT.java","advanced/server-advanced/src/test/java/org/neo4j/server/webadmin/rest/AdvancedVersionAndEditionServiceIT.java","L2338","1","0","75","8","0","6","665","0"
"L23131","PlanDescription.java","community/cypher/cypher-commons/src/main/java/org/neo4j/cypher/javacompat/PlanDescription.java","L23130","1","0","8","0","15","82","L23094","PlanDescription.java","community/cypher/cypher-commons/src/main/java/org/neo4j/cypher/javacompat/PlanDescription.java","L23093","1","0","15","4","0","3","665","0"
"L23132","ProfilerStatistics.java","community/cypher/cypher-commons/src/main/java/org/neo4j/cypher/javacompat/ProfilerStatistics.java","L23130","1","0","4","0","7","42","L23095","ProfilerStatistics.java","community/cypher/cypher-commons/src/main/java/org/neo4j/cypher/javacompat/ProfilerStatistics.java","L23093","1","0","7","4","0","3","665","0"
"L23141","IntroDocTest.java","community/cypher/cypher-docs/src/test/java/org/neo4j/cypher/javacompat/IntroDocTest.java","L23140","2","0","0","5","90","121","L23104","IntroDocTest.java","community/cypher/cypher-docs/src/test/java/org/neo4j/cypher/javacompat/IntroDocTest.java","L23103","2","0","90","4","0","4","2472","0"
"L23142","JavaExecutionEngineDocTest.java","community/cypher/cypher-docs/src/test/java/org/neo4j/cypher/javacompat/JavaExecutionEngineDocTest.java","L23140","3","0","0","22","342","444","L23105","JavaExecutionEngineDocTest.java","community/cypher/cypher-docs/src/test/java/org/neo4j/cypher/javacompat/JavaExecutionEngineDocTest.java","L23103","3","0","342","3","0","3","2319","0"
"L23143","JavaQuery.java","community/cypher/cypher-docs/src/test/java/org/neo4j/cypher/javacompat/JavaQuery.java","L23140","5","0","0","2","72","118"
"L23144","JavaQueryDocTest.java","community/cypher/cypher-docs/src/test/java/org/neo4j/cypher/javacompat/JavaQueryDocTest.java","L23140","1","0","0","2","29","54"
"L23496","CypherResultSubGraph.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/export/CypherResultSubGraph.java","L23495","20","0","0","10","161","203","L23459","CypherResultSubGraph.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/export/CypherResultSubGraph.java","L23458","20","0","161","2","0","2","665","0"
"L23497","DatabaseSubGraph.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/export/DatabaseSubGraph.java","L23495","1","0","1","7","46","79","L23460","DatabaseSubGraph.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/export/DatabaseSubGraph.java","L23458","1","0","46","4","0","2","665","0"
"L23498","SubGraph.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/export/SubGraph.java","L23495","1","0","0","6","13","39","L23461","SubGraph.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/export/SubGraph.java","L23458","1","0","13","2","0","2","665","0"
"L23499","SubGraphExporter.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/export/SubGraphExporter.java","L23495","31","0","0","3","245","290","L23462","SubGraphExporter.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/export/SubGraphExporter.java","L23458","31","0","245","12","2","4","1296","0"
"L23151","ExecutionEngine.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/javacompat/ExecutionEngine.java","L23150","1","0","8","0","38","126","L23114","ExecutionEngine.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/javacompat/ExecutionEngine.java","L23113","1","0","38","1","0","1","828","0"
"L23152","ExecutionResult.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/javacompat/ExecutionResult.java","L23150","1","0","8","2","48","145"
"L23154","QueryStatistics.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/javacompat/QueryStatistics.java","L23150","1","0","13","1","62","148","L23117","QueryStatistics.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/javacompat/QueryStatistics.java","L23113","1","0","62","3","0","2","2472","0"
"L23153","package-info.java","community/cypher/cypher/src/main/java/org/neo4j/cypher/javacompat/package-info.java","L23150","1","0","0","0","1","24"
"L23121","ManyMergesStressTest.java","community/cypher/cypher/src/test/java/org/neo4j/cypher/ManyMergesStressTest.java","L23120","4","0","0","3","74","119","L23084","ManyMergesStressTest.java","community/cypher/cypher/src/test/java/org/neo4j/cypher/ManyMergesStressTest.java","L23083","4","0","74","3","0","3","1296","0"
"L23501","ExportTest.java","community/cypher/cypher/src/test/java/org/neo4j/cypher/export/ExportTest.java","L23500","1","0","0","23","282","341","L23464","ExportTest.java","community/cypher/cypher/src/test/java/org/neo4j/cypher/export/ExportTest.java","L23463","1","0","282","13","2","5","1296","0"
"L23156","CypherLoggingTest.java","community/cypher/cypher/src/test/java/org/neo4j/cypher/javacompat/CypherLoggingTest.java","L23155","1","0","0","4","45","83"
"L23157","CypherUpdateMapTest.java","community/cypher/cypher/src/test/java/org/neo4j/cypher/javacompat/CypherUpdateMapTest.java","L23155","1","0","0","4","59","92"
"L23158","ExecutionEngineTests.java","community/cypher/cypher/src/test/java/org/neo4j/cypher/javacompat/ExecutionEngineTests.java","L23155","1","0","0","2","26","53"
"L23159","ExecutionResultTest.java","community/cypher/cypher/src/test/java/org/neo4j/cypher/javacompat/ExecutionResultTest.java","L23155","1","0","0","4","64","104"
"L23160","GraphImpl.java","community/cypher/cypher/src/test/java/org/neo4j/cypher/javacompat/GraphImpl.java","L23155","1","0","0","8","41","73"
"L23161","JavaCompatibilityTest.java","community/cypher/cypher/src/test/java/org/neo4j/cypher/javacompat/JavaCompatibilityTest.java","L23155","1","0","0","3","30","57"
"L23162","RegularExpressionMatcher.java","community/cypher/cypher/src/test/java/org/neo4j/cypher/javacompat/RegularExpressionMatcher.java","L23155","1","0","0","7","38","66"
"L23798","CalculateShortestPath.java","community/embedded-examples/src/main/java/org/neo4j/examples/CalculateShortestPath.java","L23797","6","0","0","2","91","136","L23761","CalculateShortestPath.java","community/embedded-examples/src/main/java/org/neo4j/examples/CalculateShortestPath.java","L23760","6","0","91","10","0","7","5350","0"
"L23799","CypherSql.java","community/embedded-examples/src/main/java/org/neo4j/examples/CypherSql.java","L23797","17","0","1","4","517","644","L23762","CypherSql.java","community/embedded-examples/src/main/java/org/neo4j/examples/CypherSql.java","L23760","17","0","517","21","0","9","828","0"
"L23800","EmbeddedNeo4j.java","community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4j.java","L23797","2","0","1","1","91","154","L23763","EmbeddedNeo4j.java","community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4j.java","L23760","2","0","91","23","0","8","3997","0"
"L23801","EmbeddedNeo4jWithIndexing.java","community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4jWithIndexing.java","L23797","3","0","0","2","65","109","L23764","EmbeddedNeo4jWithIndexing.java","community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4jWithIndexing.java","L23760","3","0","65","24","0","12","2472","0"
"L23802","EmbeddedNeo4jWithNewIndexing.java","community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4jWithNewIndexing.java","L23797","8","0","0","2","128","188","L23765","EmbeddedNeo4jWithNewIndexing.java","community/embedded-examples/src/main/java/org/neo4j/examples/EmbeddedNeo4jWithNewIndexing.java","L23760","8","0","128","22","0","9","665","0"
"L23803","Matrix.java","community/embedded-examples/src/main/java/org/neo4j/examples/Matrix.java","L23797","4","0","1","7","166","223","L23766","Matrix.java","community/embedded-examples/src/main/java/org/neo4j/examples/Matrix.java","L23760","4","0","166","19","0","12","310","0"
"L23804","Neo4jShell.java","community/embedded-examples/src/main/java/org/neo4j/examples/Neo4jShell.java","L23797","9","0","0","2","170","211","L23767","Neo4jShell.java","community/embedded-examples/src/main/java/org/neo4j/examples/Neo4jShell.java","L23760","9","0","170","35","0","10","310","0"
"L23805","NewMatrix.java","community/embedded-examples/src/main/java/org/neo4j/examples/NewMatrix.java","L23797","6","0","1","7","178","236","L23768","NewMatrix.java","community/embedded-examples/src/main/java/org/neo4j/examples/NewMatrix.java","L23760","6","0","178","20","0","11","1126","0"
"L23806","TraversalExample.java","community/embedded-examples/src/main/java/org/neo4j/examples/TraversalExample.java","L23797","7","0","0","8","95","142","L23769","TraversalExample.java","community/embedded-examples/src/main/java/org/neo4j/examples/TraversalExample.java","L23760","7","0","95","4","0","2","3997","0"
"L24408","OrderedPath.java","community/embedded-examples/src/main/java/org/neo4j/examples/orderedpath/OrderedPath.java","L24407","7","0","0","6","136","178","L24366","OrderedPath.java","community/embedded-examples/src/main/java/org/neo4j/examples/orderedpath/OrderedPath.java","L24365","7","0","136","22","0","11","5350","0"
"L24495","FriendsStatusUpdateIterator.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/FriendsStatusUpdateIterator.java","L24494","5","0","0","0","58","94","L24453","FriendsStatusUpdateIterator.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/FriendsStatusUpdateIterator.java","L24452","5","0","58","5","0","4","1634","0"
"L24496","Person.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/Person.java","L24494","14","0","3","12","266","350","L24454","Person.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/Person.java","L24452","14","0","266","11","0","7","1126","0"
"L24497","PersonRepository.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/PersonRepository.java","L24494","7","0","0","6","89","125","L24455","PersonRepository.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/PersonRepository.java","L24452","7","0","89","8","0","6","5350","0"
"L24498","RelTypes.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/RelTypes.java","L24494","1","0","0","1","10","33","L24456","RelTypes.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/RelTypes.java","L24452","1","0","10","1","0","1","3997","0"
"L24499","StatusUpdate.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/StatusUpdate.java","L24494","1","0","0","6","48","83","L24457","StatusUpdate.java","community/embedded-examples/src/main/java/org/neo4j/examples/socnet/StatusUpdate.java","L24452","1","0","48","9","0","6","1126","0"
"L23812","AbstractJavaDocTestBase.java","community/embedded-examples/src/test/java/org/neo4j/examples/AbstractJavaDocTestBase.java","L23811","2","0","0","5","59","91","L23775","AbstractJavaDocTestBase.java","community/embedded-examples/src/test/java/org/neo4j/examples/AbstractJavaDocTestBase.java","L23774","2","0","59","2","0","2","2319","0"
"L23813","AclExampleDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/AclExampleDocTest.java","L23811","1","0","1","1","70","225","L23776","AclExampleDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/AclExampleDocTest.java","L23774","1","0","70","10","0","5","2319","0"
"L23814","CypherSqlDocIT.java","community/embedded-examples/src/test/java/org/neo4j/examples/CypherSqlDocIT.java","L23811","5","0","1","3","64","250","L23777","CypherSqlDocIT.java","community/embedded-examples/src/test/java/org/neo4j/examples/CypherSqlDocIT.java","L23774","5","0","64","9","0","5","2319","0"
"L23815","DocumentationDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/DocumentationDocTest.java","L23811","1","0","1","1","30","97","L23778","DocumentationDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/DocumentationDocTest.java","L23774","1","0","30","6","0","5","2319","0"
"L23816","EmbeddedNeo4jDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/EmbeddedNeo4jDocTest.java","L23811","1","0","0","3","31","57","L23779","EmbeddedNeo4jDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/EmbeddedNeo4jDocTest.java","L23774","1","0","31","4","0","4","2472","0"
"L23817","EmbeddedNeo4jWithIndexingDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/EmbeddedNeo4jWithIndexingDocTest.java","L23811","1","0","0","2","10","31","L23780","EmbeddedNeo4jWithIndexingDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/EmbeddedNeo4jWithIndexingDocTest.java","L23774","1","0","10","1","0","1","3997","0"
"L23818","EmbeddedNeo4jWithNewIndexingDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/EmbeddedNeo4jWithNewIndexingDocTest.java","L23811","1","0","0","2","10","31","L23781","EmbeddedNeo4jWithNewIndexingDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/EmbeddedNeo4jWithNewIndexingDocTest.java","L23774","1","0","10","1","0","1","3997","0"
"L23819","GetOrCreateDocIT.java","community/embedded-examples/src/test/java/org/neo4j/examples/GetOrCreateDocIT.java","L23811","16","0","0","8","322","397","L23782","GetOrCreateDocIT.java","community/embedded-examples/src/test/java/org/neo4j/examples/GetOrCreateDocIT.java","L23774","16","0","322","24","0","10","5350","0"
"L23820","ImpermanentGraphJavaDocTestBase.java","community/embedded-examples/src/test/java/org/neo4j/examples/ImpermanentGraphJavaDocTestBase.java","L23811","1","0","0","2","11","33","L23783","ImpermanentGraphJavaDocTestBase.java","community/embedded-examples/src/test/java/org/neo4j/examples/ImpermanentGraphJavaDocTestBase.java","L23774","1","0","11","2","0","2","2319","0"
"L23821","JmxDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/JmxDocTest.java","L23811","3","0","0","3","50","79","L23784","JmxDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/JmxDocTest.java","L23774","3","0","50","7","0","5","2319","0"
"L23822","MatrixDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/MatrixDocTest.java","L23811","1","0","0","4","49","75","L23785","MatrixDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/MatrixDocTest.java","L23774","1","0","49","4","0","4","2472","0"
"L23823","Neo4jBasicDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/Neo4jBasicDocTest.java","L23811","1","0","4","1","55","103","L23786","Neo4jBasicDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/Neo4jBasicDocTest.java","L23774","1","0","55","17","0","7","3997","0"
"L23824","PathFindingDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/PathFindingDocTest.java","L23811","7","0","0","10","173","227","L23787","PathFindingDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/PathFindingDocTest.java","L23774","7","0","173","12","0","6","5350","0"
"L23825","ReadOnlyDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/ReadOnlyDocTest.java","L23811","3","0","3","1","50","92","L23788","ReadOnlyDocTest.java","community/embedded-examples/src/test/java/org/neo4j/examples/ReadOnlyDocTest.java","L23774","3","0","50","12","0","9","3997","0"
"L23826","Roles.java","community/embedded-examples/src/test/java/org/neo4j/examples/Roles.java","L23811","2","0","1","2","133","294","L23789","Roles.java","community/embedded-examples/src/test/java/org/neo4j/examples/Roles.java","L23774","2","0","133","12","0","5","3997","0"
